instituicao_id;st_funcionamento_gn;instituicao_name;cnpj_mantenedora;razao_social
372;10035;FACULDADE DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO;63056469000162;FUNDACAO ESCOLA DE SOCIOLOGIA E POLITICA DE SAO PAULO
202;10035;FACULDADE DO RIO DE JANEIRO;19347410000131;UNIESP S.A
19198;10035;FACULDADE DE TECNOLOGIA E EDUCAÇÃO DE GOIÁS;18853783000111;INSTITUTO DE TECNOLOGIA E EDUCACAO DE GOIAS LTDA
19586;10035;FACULDADE UNITÀ;04187523000140;FACULDADE UNITA LTDA  - ME
18059;10035;FACULDADE SANTO ANTONIO DE QUEIMADAS;05461842000164;SEEQ-SOCIEDADE DE ESTUDOS EMPRESARIAIS DE QUEIMADAS LTDA - ME
19913;10034;Faculdade Estácio de Jataí Estácio Jataí;03536667000100;SOCIEDADE EDUCACIONAL ATUAL DA AMAZONIA LTDA
554;10035;FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE BOA ESPERANÇA;27275982000180;CESBE - CENTRO EDUCACIONAL E ENSINO SUPERIOR DE BOA ESPERANCA LTDA
17116;10035;Faculdade de Ciências de Goiana;70223060000159;ASSOCIACAO DE ENSINO SUPERIOR SANTA TEREZINHA
2514;10035;Faculdade de Ciências Educacionais do Rio Grande do Norte;19447647000194;SOCIEDADE EDUCACIONAL DO RIO GRANDE DO NORTE LTDA - EPP
18642;10034;Faculdade Uninassau Ananindeua;05933016000170;INSTITUTO CAMPINENSE DE ENSINO SUPERIOR LTDA
1708;10035;CENTRO UNIVERSITARIO DO RECIFE;11870359000136;APESU ENSINO SUPERIOR DE PERNAMBUCO LTDA
18152;10034;FACULDADE INTEGRADA DE ARAPONGAS;79265617000199;CESUMAR - CENTRO DE ENSINO SUPERIOR DE MARINGA LTDA
10836;10035;FACULDADE UNIÃO ARARUAMA DE ENSINO S/S Ltda.;08407671000183;FACULDADE UNIAO ARARUAMA DE ENSINO S/S LTDA. - ME
1685;10034;FACULDADE BARDDAL DE CIÊNCIAS CONTÁBEIS;19347410000131;UNIESP S.A
20494;10035;Faculdade Autônoma do Brasil - Maceió;21895918000116;Sociedade de Educa  o Superior de Macei  Ltda
22266;10035;Instituto de Desenvolvimento Tecnológico da FGV;33641663000144;FUNDACAO GETULIO VARGAS
1938;10034;FACULDADE DE UMUARAMA;19347410000131;UNIESP S.A
2205;10035;Faculdade REGES de Tupi Paulista;04235527000156;CENTRO DE ENSINO SUPERIOR DE TUPI PAULISTA (CESTUPI)
3428;10035;FACULDADE ALFA AMÉRICA;05200519000137;FACULDADE PLAY LTDA
17460;10035;FACULDADE Profissional;02855141000111;ESCOLA TECNICA PROFISSIONAL LTDA - ME
3789;10035;FACULDADE EVANGÉLICA DE GOIANÉSIA;01060102000165;ASSOCIACAO EDUCATIVA EVANGELICA
1427;10035;CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA;91109660000160;SOCIEDADE EDUCACIONAL SANTA RITA S.A.
22169;10034;Faculdade de Ciências Jurídicas de Marília;04310392000146;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A
5018;10035;INSTITUTO SUPERIOR DE EDUCAÇÃO PROFESSOR ALDO MUYLAERT;31608763000143;FUNDACAO DE APOIO A ESCOLA TECNICA DO EST.RIO DE JANEIRO
1160;10035;Centro Universitário Cambury;26721076000108;CENTRO TECNOLOGICO CAMBURY LTDA
18649;10035;FACULDADE UNINASSAU MOSSORÓ;04986320000113;SER EDUCACIONAL S.A.
1043;10035;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO;44701688000102;FUNDACAO HERMINIO OMETTO
68;10035;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS;53893582000149;FUNDACAO EDUCACIONAL DE PENAPOLIS
15745;10035;Faculdade de Tecnologia de São Caetano do Sul;62823257000109;CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA
16225;10035;Faculdade Regional do Jacuípe;09485207000178;INSTITUTO DE CIENCIA, EDUCACAO E TEOLOGIA REDIMERE LTDA - ME
142;10035;CENTRO UNIVERSITÁRIO DO TRIÂNGULO;28638393000182;ASSOCIACAO SALGADO DE OLIVEIRA DE EDUCACAO E CULTURA
14297;10035;Faculdade Unirb - Parnaíba;15121017000174;UNIDADE REGIONAL BRASILEIRA DE EDUCACAO LTDA
14408;10035;INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DE BRASILIA;10791831000182;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE BRASILIA
